epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
40,2679.16,1.12839,0.6272,1.0272,0.96436,0.88781,0.94638,0.64703,1.14973,0.56019,1.08932,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
41,2772.18,1.10493,0.58374,1.02057,0.9624,0.87481,0.94158,0.64073,1.17754,0.57937,1.09602,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
42,2847.46,1.07765,0.57852,1.01276,0.95893,0.88995,0.9428,0.64609,1.17198,0.57191,1.08501,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
43,2923.09,1.05404,0.5574,1.0039,0.95501,0.89269,0.94621,0.6515,1.14449,0.56024,1.07882,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
44,2995.45,1.05591,0.55787,1.00798,0.95491,0.89749,0.94591,0.64546,1.16013,0.56722,1.08192,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
45,3068.07,1.04444,0.54604,1.0015,0.96331,0.89405,0.94623,0.64542,1.16268,0.56582,1.08751,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
46,3134.34,1.04697,0.54515,1.00079,0.95087,0.8996,0.9471,0.64977,1.14777,0.55343,1.0799,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
47,3199.78,1.0365,0.54506,0.99899,0.96369,0.88897,0.94796,0.65373,1.14418,0.55191,1.07481,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
48,3265.05,1.02231,0.54086,0.993,0.94906,0.89952,0.9471,0.65571,1.13654,0.54856,1.07459,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
49,3330.58,1.0213,0.53159,0.98688,0.9434,0.90567,0.94911,0.65742,1.13105,0.54111,1.07344,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
50,3396.06,1.00177,0.52457,0.98201,0.95403,0.89542,0.94928,0.66163,1.1277,0.54154,1.07111,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
